Year,District,Murder,Rape,Kidnaping & Abduction,Robbery,Theft,Riots,"Cheating ,Forgery& Fraud",Counterfeiting,Grievous Hurt,Assault On Women,Death By Negligence,Accidents,Cyber Crime,Dowry deaths
2015,Ariyalur,15,5,3,12,55,26,15,1,7,19,133,379,0,0
2015,Chennai,140,25,37,67,1052,151,1203,70,50,68,971,6516,29,7
2015,Coimbatore,53,5,22,71,260,37,297,0,1,28,712,1845,3,1
2015,Coimbatore City,25,2,10,121,481,38,519,1,22,16,287,1253,20,1
2015,Cuddalore,38,27,47,14,403,192,595,1,44,61,502,3280,0,3
2015,Dharmapuri,27,9,102,21,202,75,277,0,22,30,277,1291,0,0
2015,Dindigul,61,19,155,42,287,89,376,0,3,46,551,1433,0,4
2015,Erode,46,4,12,26,226,22,248,0,23,23,593,1774,0,0
2015,Kanchipuram,68,18,15,33,355,131,486,13,4,10,848,2473,4,1
2015,Kanyakumari,38,9,24,26,240,0,240,9,13,2,236,912,11,0
2015,Karur,19,7,8,17,173,33,206,3,2,16,347,886,1,1
2015,Krishnagiri,53,18,78,31,315,106,421,1,18,41,587,1485,1,3
2015,Madurai,65,25,144,80,333,186,717,0,17,73,395,1574,11,2
2015,Madurai City,45,13,35,189,381,51,347,11,16,26,219,820,6,0
2015,Nagapattinam,33,11,31,22,184,69,21,0,636,31,212,1210,0,0
2015,Namakkal,40,5,41,27,115,42,46,0,18,32,488,1717,0,1
2015,Nilgiris,11,3,6,3,33,9,7,0,13,14,46,223,0,1
2015,Perambalur,8,2,4,12,35,12,9,0,2,24,160,387,0,0
2015,Pudukottai,39,1,17,12,101,26,49,0,21,20,325,1007,1,1
2015,Ramnathapuram,33,12,59,43,179,65,244,6,25,20,276,638,4,2
2015,Railway Chennai,1,0,1,36,466,14,5,2,1,8,3,5,0,1
2015,Railway Trichy,3,0,0,19,132,6,0,0,0,2,3,1,0,0
2015,Salem,53,14,111,42,102,106,56,3,16,94,566,1776,2,5
2015,Salem City,25,3,16,93,258,48,42,0,12,17,233,929,2,4
2015,Sivagangai,38,16,73,78,232,74,306,5,9,31,250,704,5,0
2015,Thanjavur,61,8,28,58,393,89,39,1,6,56,465,1858,3,3
2015,Theni,49,5,38,21,220,84,187,0,0,20,246,1053,0,1
2015,Thirunelveli,102,26,47,61,502,1,503,5,14,53,431,1580,4,6
2015,Thirunelveli City,19,5,8,15,157,0,84,5,4,3,87,267,4,1
2015,Thiruvallur,44,4,3,19,161,156,30,0,7,8,358,1012,0,1
2015,Thiruvannamalai,45,11,52,8,366,156,522,1,29,9,476,1354,0,1
2015,Thiruvarur,28,1,45,30,131,50,16,0,24,3,164,903,0,3
2015,Thoothukudi,81,20,29,59,433,0,433,1,35,18,379,1089,11,0
2015,Tiruppur,50,4,24,64,187,33,220,0,3,12,652,1752,1,1
2015,Tiruppur City,22,1,5,48,169,4,88,1,3,3,179,663,0,0
2015,Trichy,41,7,23,43,132,74,206,0,3,47,462,1258,0,1
2015,Trichy City,17,2,13,59,269,8,277,10,6,7,172,667,9,3
2015,Vellore,80,17,54,39,701,12,115,30,1,40,718,2561,0,1
2015,Villupuram,74,38,155,37,550,313,121,4,22,101,797,2767,4,2
2015,Virudhunagar,58,19,28,65,225,60,195,2,6,31,332,951,1,3
